"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"14:56:51,1758209","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS","Desired Access: Read"
"14:56:51,1758276","postgres.exe","21072","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale\quc-Latn-GT","NAME NOT FOUND","Length: 532"
"14:56:51,1758338","postgres.exe","21072","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS",""
"14:56:51,1758454","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","REPARSE","Desired Access: Read"
"14:56:51,1758527","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS","Desired Access: Read"
"14:56:51,1758600","postgres.exe","21072","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale\quc-Latn","NAME NOT FOUND","Length: 532"
"14:56:51,1758666","postgres.exe","21072","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS",""
"14:56:51,1758731","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","REPARSE","Desired Access: Read"
"14:56:51,1758798","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS","Desired Access: Read"
"14:56:51,1758865","postgres.exe","21072","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale\quc-Latn","NAME NOT FOUND","Length: 532"
"14:56:51,1758926","postgres.exe","21072","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS",""
"14:56:51,1759044","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","REPARSE","Desired Access: Read"
